title,genre,author,pages,level,mood
Black Swan,Business,Nassim-Taleb,430,80,60
A Feast For Crows,Fantasy,George R.R. Martin,1050,60,40
Harry Potter and the Deathly Hallows,Fantasy,J.K. Rowling,759,45,20
A More Beautiful Question,Business,Warren Berger,250,20,50
Freakonomics,Business,Steven D Levitt,250,30,40
Beginning Javascript 4th Edition,Business,Jeremy McPeak,600,90,90
The Game: Penetrating the Society of Pick Up Artists,Biography,Neil Strauss,300,10,20
Adventure Capitalist,Biography,Jim Rogers,400,40,20
Look to Windward,Sci-Fi,Iain M Banks,550,65,50
Traction,Business,Justin Mares,200,20,60
Vagabonding,Lifestyle,Rolf Potts,400,20,30
4-hour Chef,Lifestyle,Tim Ferriss,600,35,70
Bold,Business,Peter Diamandis,350,50,40
A Fine Balance,Drama,Rohinton Mistry,600,50,30
Here and Now,Lifestyle,Ram Dass / Tim Leary,400,60,60
Sure You're Joking Mr. Feynman,Biography,Richard Feynman,300,30,15
